case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability
426;0,571316596;0,504950495;0,351288056;0,693069307;1;0;0;0,245790065;-0,166666667;False;10;15;0,076204352;0,072398305;0,070816107;0,063234821;0,064840212;0,058579285;0,045904852;0,042626798;0,044690844;0,038621578;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
427;0,571180542;0,504950495;0,35046729;0,693069307;1;0;0;0,251216388;0,095238095;False;1;7;0,059758995;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
428;0,56634603;0,504950495;0,351981352;0,683168317;0;0;0;0,270380063;1,5;True;-1;9;0,056489419;0,055908591;0,053822171;0,054433059;0,057355326;0,048638251;0,045728534;0,051533405;0,04484525;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
429;0,562642562;0,504950495;0,353488372;0,673267327;0;0;0;0,289932787;1,5;True;-1;15;0,042570699;0,041435458;0,042398743;0,038074821;0,037933011;0,037151638;0,036372095;0,035839457;0,035466608;0,033908918;0,033032134;0,032668531;0,03203452;0,032176904;0,03191191;-1;-1;-1;-1;-1;-1;-1;-1
430;0,561542248;0,514851485;0,354988399;0,663366337;0;0;0;0,310302517;1,5;True;-1;11;0,042218819;0,040546916;0,040934741;0,0418307;0,041045818;0,037369762;0,034520745;0,033789057;0,032885399;0,032792319;0,032500852;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
431;0,561542248;0,514851485;0,354166667;0,663366337;1;0;0;0,317398226;-0,2;False;11;11;0,064235389;0,060143195;0,060909227;0,063580886;0,056346916;0,042978659;0,041418556;0,037585825;0,034988582;0,034217943;0,033396684;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
432;0,55691915;0,524752475;0,355658199;0,653465347;0;0;0;0,337464233;1,5;True;-1;15;0,050138507;0,055118199;0,050094977;0,066905707;0,064939991;0,044466168;0,0441458;0,044254139;0,044015158;0,041338991;0,037200466;0,036296237;0,035543207;0,036094096;0,035574406;-1;-1;-1;-1;-1;-1;-1;-1
433;0,551811924;0,514851485;0,35483871;0,643564356;0;0;0;0,332678754;-1;False;-1;15;0,040176976;0,03994057;0,03957317;0,038260162;0,040670361;0,039440062;0,038732979;0,037744854;0,047626093;0,044689365;0,045610599;0,04316457;0,040798176;0,040166561;0,039974984;-1;-1;-1;-1;-1;-1;-1;-1
434;0,551811924;0,514851485;0,356321839;0,643564356;0;0;0;0,332678754;1,5;True;-1;9;0,041461293;0,039633047;0,038474783;0,036197875;0,038411226;0,038124766;0,0371751;0,03932834;0,048879415;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
435;0,552932372;0,514851485;0,355504587;0,643564356;1;0;0;0,340300021;0,374509804;False;2;17;0,056983102;0,060491383;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
436;0,55219694;0,524752475;0,356979405;0,633663366;0;0;0;0,360102001;1,5;True;-1;23;0,051964812;0,062316757;0,075361185;0,071606822;0,075122498;0,059271652;0,058285654;0,054482289;0,054525163;0,055340286;0,053697556;0,052047096;0,052865665;0,050497018;0,057279166;0,057104908;0,05856001;0,059855469;0,052909173;0,051223915;0,047650069;0,050310079;0,046671294
437;0,55415925;0,514851485;0,356164384;0,623762376;0;0;0;0,356000162;-1;False;-1;15;0,04602132;0,044769414;0,043744549;0,041043747;0,040840469;0,040951677;0,040058993;0,04020036;0,039558884;0,044358831;0,034495309;0,033131439;0,032667648;0,032940418;0,032483522;-1;-1;-1;-1;-1;-1;-1;-1
438;0,551212752;0,514851485;0,355353075;0,613861386;0;0;0;0,351032297;-1;False;-1;7;0,065535888;0,061690077;0,057664298;0,052652445;0,043274637;0,041157659;0,043442111;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
439;0,545677078;0,514851485;0,354545455;0,603960396;0;0;0;0,345311725;-1;False;-1;11;0,038265709;0,037448384;0,036597777;0,035111651;0,043700766;0,040847138;0,040575195;0,038115498;0,037152834;0,037091568;0,036374729;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
440;0,541135332;0,524752475;0,35600907;0,594059406;0;0;0;0,364693663;1,5;True;-1;15;0,043622307;0,042285372;0,04293995;0,041283198;0,040305637;0,039996136;0,04107352;0,04618039;0,053508397;0,048406519;0,052220423;0,048057862;0,053678211;0,045267209;0,049532466;-1;-1;-1;-1;-1;-1;-1;-1
441;0,547662139;0,524752475;0,35520362;0,594059406;1;0;0;0,376203275;0,523076923;False;2;13;0,050299123;0,051661819;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
442;0,535228276;0,514851485;0,354401806;0,594059406;1;0;0;0,381750973;0,138095238;False;6;7;0,05743096;0,053618874;0,054349571;0,039963368;0,036112621;0,035338517;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
443;0,542305924;0,514851485;0,355855856;0,584158416;0;0;0;0,404600905;1,5;True;-1;17;0,049655091;0,061166689;0,064435259;0,069144532;0,061316583;0,052918002;0,060759436;0,056611158;0,052283216;0,052744877;0,051680952;0,046101432;0,039613198;0,038661163;0,037024621;0,037823603;0,036561716;-1;-1;-1;-1;-1;-1
444;0,542305924;0,514851485;0,357303371;0,584158416;0;0;0;0,404600905;1,5;True;-1;13;0,048750352;0,046189547;0,046134438;0,042717136;0,040722076;0,040457096;0,038911156;0,037482537;0,036440443;0,035450004;0,034899734;0,034879263;0,034231909;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
445;0,542305924;0,504950495;0,356502242;0,584158416;0;0;0;0,37984843;-1;False;-1;9;0,045002107;0,043436769;0,041455537;0,038087238;0,035189494;0,033880074;0,032981779;0,032819152;0,032123901;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
446;0,543819035;0,514851485;0,357941834;0,574257426;0;0;0;0,399710416;1,5;True;-1;19;0,04152178;0,040525638;0,03966682;0,038650814;0,038201403;0,037411764;0,036945105;0,036293063;0,035672564;0,035108358;0,034239721;0,033498719;0,04520236;0,043483116;0,044505507;0,041609108;0,039410021;0,03837008;0,038620047;-1;-1;-1;-1
447;0,550853455;0,524752475;0,359375;0,564356436;0;0;0;0,421115414;1,5;True;-1;23;0,082565807;0,067875125;0,067771651;0,066941023;0,061300784;0,057828542;0,058642298;0,057680223;0,058537003;0,059945785;0,059607934;0,056662071;0,054605998;0,054158557;0,053066306;0,052650675;0,052429043;0,05231389;0,050485879;0,05139507;0,051721785;0,048798185;0,047438856
448;0,546426975;0,524752475;0,360801782;0,574257426;1;0;0;0,408710056;0,247058824;True;12;17;0,064715639;0,054137334;0,064554013;0,063023366;0,057074629;0,052058905;0,049988024;0,049262833;0,047974564;0,047916483;0,046880204;0,045422163;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
449;0,546410493;0,514851485;0,36;0,584158416;1;0;0;0,397548939;0,372727273;False;5;11;0,039546184;0,038682539;0,037814159;0,035833366;0,05916493;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
450;0,549903046;0,514851485;0,359201774;0,584158416;1;0;0;0,405169702;0,533333333;False;1;15;0,042123888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
451;0,55298471;0,524752475;0,360619469;0,584158416;1;0;0;0,412670452;0,339393939;True;5;11;0,072696581;0,065107778;0,058751844;0,039924134;0,049026836;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
452;0,555419538;0,524752475;0,362030905;0,574257426;0;0;0;0,431424092;1,5;True;-1;7;0,048909307;0,044146389;0,041107345;0,033457153;0,031304102;0,030290868;0,029752014;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
453;0,555230072;0,514851485;0,36123348;0,574257426;1;0;0;0,437970351;0,48974359;False;2;13;0,039020121;0,038101267;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
