case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability
513;0,613964874;0,405940594;0,321637427;0,653465347;1;0;0;-0,106328308;-0,522222222;False;7;9;0,066704907;0,062923305;0,061091539;0,055996094;0,055006169;0,051244989;0,048761144;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
514;0,614332184;0,396039604;0,321011673;0,653465347;1;0;0;-0,101587834;-0,166666667;False;1;15;0,098182186;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
515;0,613754983;0,396039604;0,32038835;0,653465347;1;0;0;-0,097155963;-0,366666667;False;7;15;0,097362399;0,077105433;0,078279451;0,075960301;0,076839849;0,071306631;0,072447456;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
516;0,609753934;0,396039604;0,319767442;0,653465347;1;0;0;-0,093842774;-0,360606061;False;5;11;0,076774143;0,08395949;0,089313596;0,096454874;0,089972533;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
517;0,614792956;0,386138614;0,319148936;0,663366337;1;0;0;-0,110274944;-0,159649123;False;1;19;0,078360185;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
518;0,616451331;0,396039604;0,32046332;0,663366337;1;0;0;-0,105764493;-0,244444444;True;2;9;0,133435994;0,113704234;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
519;0,614136491;0,405940594;0,32177264;0,653465347;0;0;0;-0,084490058;1,5;True;-1;7;0,085425161;0,075784907;0,075371504;0,062302992;0,056092191;0,05358145;0,051235307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
520;0,6239267;0,405940594;0,321153846;0,653465347;1;0;0;-0,07733088;-0,233333333;False;3;15;0,10435681;0,088645801;0,111541696;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
521;0,629895479;0,396039604;0,320537428;0,653465347;1;0;0;-0,072080355;-0,366666667;False;3;9;0,089912936;0,091553763;0,097277679;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
522;0,632432814;0,386138614;0,319923372;0,653465347;1;0;0;-0,067290929;-0,252631579;False;2;19;0,074735433;0,062192257;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
523;0,630179512;0,386138614;0,319311663;0,653465347;1;0;0;-0,064726826;-0,533333333;False;8;15;0,061345655;0,058704462;0,056866329;0,054052353;0,052352708;0,050709039;0,048847318;0,046778403;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
524;0,619597501;0,376237624;0,31870229;0,653465347;1;0;0;-0,065544051;-0,738095238;False;17;21;0,050879899;0,049923863;0,04885602;0,049283594;0,048444852;0,047513705;0,045137905;0,044400096;0,043290414;0,044009771;0,042925883;0,040698659;0,040722106;0,038783647;0,037666183;0,037746161;0,03698523;-1;-1;-1;-1
525;0,616542358;0,386138614;0,32;0,643564356;0;0;0;-0,043191816;1,5;True;-1;15;0,056165047;0,061567158;0,07220158;0,073808953;0,063325822;0,044676758;0,051147081;0,044460967;0,050846048;0,041356541;0,039088074;0,041201368;0,035921782;0,039693095;0,036281694;-1;-1;-1;-1;-1;-1
526;0,617842499;0,386138614;0,319391635;0,633663366;0;0;0;-0,043521849;-1;False;-1;19;0,060892511;0,053193789;0,051858287;0,049128741;0,050812099;0,046380021;0,045680311;0,0449051;0,04213801;0,04072595;0,040615309;0,041129041;0,044087198;0,041321609;0,04190686;0,040380422;0,040604044;0,044924911;0,049243666;-1;-1
527;0,61495111;0,396039604;0,320683112;0,623762376;0;0;0;-0,020419538;1,5;True;-1;17;0,073573001;0,073792502;0,091278583;0,07502044;0,065215558;0,061045837;0,069904253;0,057032175;0,052435335;0,049571719;0,050576616;0,047396436;0,053158868;0,048301984;0,041595548;0,042424232;0,038541172;-1;-1;-1;-1
528;0,609082096;0,396039604;0,320075758;0,623762376;1;0;0;-0,016309379;-0,603921569;False;16;17;0,069903173;0,069827504;0,067552857;0,068600468;0,061116911;0,058322139;0,05502367;0,050690722;0,052525271;0,049832139;0,049434792;0,04935034;0,049017072;0,047166217;0,044460617;0,044497032;-1;-1;-1;-1;-1
529;0,609945427;0,405940594;0,321361059;0,613861386;0;0;0;0,008663118;1,5;True;-1;13;0,073506705;0,066336796;0,057857543;0,053194828;0,058845542;0,050001316;0,060522366;0,048231319;0,0474222;0,043702342;0,046549626;0,048715815;0,046183281;-1;-1;-1;-1;-1;-1;-1;-1
530;0,613757744;0,405940594;0,320754717;0,613861386;1;0;0;0,017093961;-0,248484848;False;4;11;0,063801266;0,054131877;0,052078966;0,054726422;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
531;0,608916216;0,415841584;0,322033898;0,603960396;0;0;0;0,040316283;1,5;True;-1;9;0,079098225;0,075567983;0,074415505;0,07686469;0,064700693;0,058008421;0,050661933;0,052888021;0,049082022;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
532;0,616034517;0,415841584;0,321428571;0,594059406;0;0;0;0,04238649;-1;False;-1;11;0,079692878;0,077397533;0,084511898;0,074104771;0,065377392;0,068760663;0,066155389;0,05940032;0,054445941;0,057848461;0,049988788;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
533;0,611786514;0,425742574;0,322701689;0,584158416;0;0;0;0,065818833;1,5;True;-1;13;0,080798648;0,078875393;0,066326283;0,066023514;0,061069656;0,049227957;0,041828521;0,039113965;0,035553135;0,034447022;0,036032099;0,035012819;0,032689899;-1;-1;-1;-1;-1;-1;-1;-1
534;0,610840305;0,425742574;0,323970037;0,574257426;0;0;0;0,090901342;1,5;True;-1;11;0,069891311;0,069692351;0,063527219;0,058800828;0,053671263;0,040492866;0,040569663;0,040422495;0,035852153;0,036500134;0,039161395;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
535;0,615261171;0,435643564;0,325233645;0,574257426;1;0;0;0,100091491;-0,105128205;True;1;13;0,107626334;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
536;0,610575351;0,445544554;0,326492537;0,564356436;0;0;0;0,124106246;1,5;True;-1;7;0,060266264;0,053155165;0,050433297;0,045855884;0,041474476;0,038392689;0,034182537;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
537;0,60787304;0,455445545;0,327746741;0,554455446;0;0;0;0,148717278;1,5;True;-1;15;0,048530124;0,045074411;0,042584576;0,041703533;0,039883327;0,037924182;0,036821503;0,042398222;0,039533347;0,039339077;0,037173759;0,035872683;0,034738574;0,0330869;0,031690564;-1;-1;-1;-1;-1;-1
538;0,611562668;0,455445545;0,327137546;0,564356436;1;0;0;0,156398047;-0,224242424;False;2;11;0,057166483;0,046448819;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
539;0,60406108;0,465346535;0,3283859;0,574257426;1;0;0;0,16024196;-0,611764706;True;14;17;0,056542486;0,099803485;0,072742;0,060234316;0,053598404;0,04659659;0,043680623;0,043686636;0,046675455;0,038900908;0,151062906;0,052608054;0,047468193;0,255649507;-1;-1;-1;-1;-1;-1;-1
540;0,605380994;0,465346535;0,32962963;0,574257426;1;0;0;0,165901474;-0,252631579;True;2;19;0,050120559;0,093289971;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
541;0,605380994;0,455445545;0,329020333;0,574257426;0;0;0;0,141148998;-1;False;-1;17;0,056812584;0,054338127;0,053668924;0,049688496;0,045796469;0,051744793;0,045927346;0,039890297;0,039906505;0,03664906;0,037689716;0,034134835;0,03582228;0,03427605;0,033488851;0,033130933;0,071602702;-1;-1;-1;-1
542;0,596661132;0,455445545;0,330258303;0,584158416;1;0;0;0,119816865;-0,654545455;True;10;11;0,05559136;0,050755896;0,055250339;0,045609143;0,041605569;0,040742893;0,038584255;0,032034837;0,029878151;0,028996393;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
543;0,600353143;0,455445545;0,331491713;0,594059406;1;0;0;0,102085092;-0,290909091;True;2;11;0,05581791;0,056890298;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
